component_1,component_2,component_3,mental_health_risk_score
-26.133732,-24.564749,6.660646,2
-37.983677,15.663981,5.007238,2
-26.133732,-24.564749,6.660646,2
6.285278,-2.3814683,21.524576,2
6.285278,-2.3814683,21.524576,2
-1.261459,9.395761,-48.4466,1
20.436049,37.90276,-25.18052,2
34.856632,-36.59988,-14.451145,1
-28.199118,-11.17357,-36.459354,2
6.285278,-2.3814683,21.524576,2
33.071167,17.889635,-1.2510316,1
-28.199118,-11.17357,-36.459354,2
-26.133732,-24.564749,6.660646,2
-9.498719,46.895718,17.95682,2
6.285278,-2.3814683,21.524576,2
6.285278,-2.3814683,21.524576,2
-37.983677,15.663981,5.007238,2
-26.133732,-24.564749,6.660646,2
35.85808,21.465292,30.496836,1
-37.983677,15.663981,5.007238,2
-26.133732,-24.564749,6.660646,2
6.285278,-2.3814683,21.524576,2
38.15009,-2.6923983,20.982931,1
38.53689,-11.494194,-30.295856,1
6.285278,-2.3814683,21.524576,2
35.85808,21.465292,30.496836,1
6.285278,-2.3814683,21.524576,2
20.436049,37.90276,-25.18052,2
6.285278,-2.3814683,21.524576,2
2.0689166,45.589817,-26.076601,2
6.285278,-2.3814683,21.524576,2
-37.983677,15.663981,5.007238,2
-26.133732,-24.564749,6.660646,2
-26.133732,-24.564749,6.660646,2
-28.199118,-11.17357,-36.459354,2
-7.412217,55.68037,10.979545,2
-37.983677,15.663981,5.007238,2
26.462542,22.892618,34.2343,1
6.285278,-2.3814683,21.524576,2
33.071167,17.889635,-1.2510316,1
38.53689,-11.494194,-30.295856,1
38.15009,-2.6923983,20.982931,1
-37.983677,15.663981,5.007238,2
33.071167,17.889635,-1.2510316,1
6.285278,-2.3814683,21.524576,2
-26.133732,-24.564749,6.660646,2
6.285278,-2.3814683,21.524576,2
-26.133732,-24.564749,6.660646,2
9.099101,-36.560627,-5.402489,1
-26.133732,-24.564749,6.660646,2
-1.00138,-2.3379562,54.238197,2
53.712025,-10.926802,-12.961993,1
-18.636286,22.73959,35.291264,2
6.285278,-2.3814683,21.524576,2
6.285278,-2.3814683,21.524576,2
1.3106728,42.9829,29.21759,2
-37.983677,15.663981,5.007238,2
-26.133732,-24.564749,6.660646,2
6.285278,-2.3814683,21.524576,2
-26.133732,-24.564749,6.660646,2
-26.133732,-24.564749,6.660646,2
-12.884825,55.331097,-0.22699296,2
-26.133732,-24.564749,6.660646,2
23.59149,47.083702,-4.801998,2
26.462542,22.892618,34.2343,1
43.35147,-33.237682,-8.812953,1
-13.930829,27.78151,-36.682507,2
9.552733,-3.2356732,-51.042213,1
2.0689166,45.589817,-26.076601,2
6.285278,-2.3814683,21.524576,2
-26.133732,-24.564749,6.660646,2
-26.133732,-24.564749,6.660646,2
-21.535,-0.37779474,-36.919193,2
9.552733,-3.2356732,-51.042213,1
-7.412217,55.68037,10.979545,2
6.285278,-2.3814683,21.524576,2
-26.133732,-24.564749,6.660646,2
-1.1496735,-18.68093,-23.688467,1
-37.983677,15.663981,5.007238,2
43.710392,18.041082,-4.78815,1
-1.1496735,-18.68093,-23.688467,1
-37.983677,15.663981,5.007238,2
38.53689,-11.494194,-30.295856,1
6.285278,-2.3814683,21.524576,2
-12.884825,55.331097,-0.22699296,2
-12.884825,55.331097,-0.22699296,2
25.199335,-18.559206,-40.26878,1
-37.983677,15.663981,5.007238,2
-28.199118,-11.17357,-36.459354,2
6.285278,-2.3814683,21.524576,2
-37.983677,15.663981,5.007238,2
18.530912,15.952988,-36.10043,1
38.53689,-11.494194,-30.295856,1
22.513063,3.0752573,-26.93581,1
18.049124,13.091057,-50.23706,1
-1.00138,-2.3379562,54.238197,2
-37.983677,15.663981,5.007238,2
-37.983677,15.663981,5.007238,2
-37.983677,15.663981,5.007238,2
34.183353,27.407167,38.646885,1
13.510323,-40.133003,7.734504,1
3.8737903,-1.7313486,-43.121178,1
20.436049,37.90276,-25.18052,2
6.285278,-2.3814683,21.524576,2
-1.1496735,-18.68093,-23.688467,1
6.285278,-2.3814683,21.524576,2
-1.00138,-2.3379562,54.238197,2
6.285278,-2.3814683,21.524576,2
-26.133732,-24.564749,6.660646,2
13.510323,-40.133003,7.734504,1
-26.133732,-24.564749,6.660646,2
-26.133732,-24.564749,6.660646,2
41.882294,30.573826,22.480274,1
-26.133732,-24.564749,6.660646,2
-26.133732,-24.564749,6.660646,2
6.285278,-2.3814683,21.524576,2
-26.133732,-24.564749,6.660646,2
20.436049,37.90276,-25.18052,2
6.285278,-2.3814683,21.524576,2
6.285278,-2.3814683,21.524576,2
33.919384,-18.150352,31.040966,1
-18.636286,22.73959,35.291264,2
34.856632,-36.59988,-14.451145,1
6.285278,-2.3814683,21.524576,2
-17.118504,38.668285,-28.413565,2
41.09121,15.158702,6.2391706,1
6.285278,-2.3814683,21.524576,2
-13.85847,18.068886,-31.43426,2
43.710392,18.041082,-4.78815,1
-18.636286,22.73959,35.291264,2
6.285278,-2.3814683,21.524576,2
-26.133732,-24.564749,6.660646,2
-26.133732,-24.564749,6.660646,2
-1.1496735,-18.68093,-23.688467,1
6.285278,-2.3814683,21.524576,2
6.285278,-2.3814683,21.524576,2
38.53689,-11.494194,-30.295856,1
-28.199118,-11.17357,-36.459354,2
-28.199118,-11.17357,-36.459354,2
-27.026566,23.867802,-2.7671607,2
13.510323,-40.133003,7.734504,1
6.285278,-2.3814683,21.524576,2
6.285278,-2.3814683,21.524576,2
