umap_component_1,umap_component_2,umap_component_3,mental_health_risk_score
-4.785553,5.1764064,8.113364,2
-3.1015058,11.637192,22.513914,2
-3.0066454,11.565227,22.569008,2
14.579416,-0.38507062,9.281309,1
1.8936144,-16.325825,1.2229462,2
-14.545522,-7.74341,-3.5836275,2
-4.6306524,5.229443,8.219978,2
1.8729268,-16.345642,1.2913138,2
10.857381,-8.962135,2.412759,1
14.442321,-0.41528973,9.179782,1
8.827642,1.631864,5.4861236,1
11.143046,-5.2448573,9.93973,1
0.0636202,22.236946,-4.274464,2
1.8083452,-16.363703,1.3420358,2
1.8658524,-16.350857,1.1355393,2
1.9205118,-16.295078,1.253371,2
9.511701,4.003183,-5.0358787,1
11.16855,18.696394,13.492546,1
18.485329,-7.6126876,-4.651937,1
2.359323,-5.731922,26.084562,2
-4.6434474,5.3412395,8.199748,2
11.557673,-0.80249554,-8.8774,1
-4.8036537,5.13145,8.178798,2
0.039182544,22.22957,-4.2471514,2
-4.689682,5.231618,8.099054,2
-0.88886887,0.65337086,-13.709365,2
11.080283,18.649559,13.438205,1
-0.9948146,0.44756922,-13.704518,2
-1.0598351,0.65279293,-13.882832,2
17.056458,-1.1936185,17.177504,1
-1.0443301,0.2482275,-13.899313,2
-0.87329525,0.32388988,-13.893488,2
-4.8311343,5.177213,8.085525,2
